%  columns="iteration, evaluation, sigma, max axis length, min axis length, all principal axes lengths (sorted square roots of eigenvalues of C)" (startseed=210480, 2026/04/9 15:35:15.84)
1 101 4.659934e-01 1.079457e+00 3.018117e-01 3.018117e-01 5.214946e-01 5.922447e-01 6.274787e-01 7.688696e-01 7.902656e-01 8.126319e-01 8.417765e-01 9.404266e-01 9.476024e-01 9.515583e-01 9.594127e-01 9.622087e-01 9.695664e-01 9.750735e-01 9.847557e-01 9.905285e-01 1.005787e+00 1.023768e+00 1.029031e+00 1.068211e+00 1.079457e+00 
2 201 4.925739e-01 1.109198e+00 2.993605e-01 2.993605e-01 5.141636e-01 5.839460e-01 6.167994e-01 7.510194e-01 7.679455e-01 7.927700e-01 8.325185e-01 9.035524e-01 9.209436e-01 9.263008e-01 9.326958e-01 9.430047e-01 9.474490e-01 9.624170e-01 9.719533e-01 9.768597e-01 9.957014e-01 1.010550e+00 1.021919e+00 1.061925e+00 1.109198e+00 
3 301 4.975831e-01 1.112701e+00 2.956388e-01 2.956388e-01 4.970225e-01 5.788495e-01 6.043236e-01 7.303470e-01 7.545024e-01 7.609004e-01 8.038596e-01 8.864721e-01 8.980329e-01 9.104117e-01 9.191478e-01 9.307812e-01 9.381334e-01 9.481963e-01 9.580565e-01 9.610797e-01 9.827338e-01 9.967127e-01 9.993951e-01 1.057745e+00 1.112701e+00 
4 401 4.968339e-01 1.129648e+00 2.935875e-01 2.935875e-01 4.828892e-01 5.606688e-01 5.952405e-01 7.219130e-01 7.415930e-01 7.450754e-01 7.912158e-01 8.677065e-01 8.838372e-01 8.902692e-01 8.991260e-01 9.021784e-01 9.231459e-01 9.327768e-01 9.417888e-01 9.516230e-01 9.612116e-01 9.737525e-01 9.913455e-01 1.054978e+00 1.129648e+00 
5 501 5.021506e-01 1.118710e+00 2.847742e-01 2.847742e-01 4.802028e-01 5.574252e-01 5.817232e-01 6.994007e-01 7.228317e-01 7.500296e-01 7.828379e-01 8.438914e-01 8.545425e-01 8.621608e-01 8.690339e-01 8.844232e-01 8.961043e-01 9.143465e-01 9.247527e-01 9.423079e-01 9.589504e-01 9.740127e-01 1.003355e+00 1.031846e+00 1.118710e+00 
6 601 8.049010e-01 1.124356e+00 2.742149e-01 2.742149e-01 4.725396e-01 5.447641e-01 5.671839e-01 6.823583e-01 7.123780e-01 7.272549e-01 7.709477e-01 8.141240e-01 8.270539e-01 8.372337e-01 8.461082e-01 8.699153e-01 8.845964e-01 8.932338e-01 9.088550e-01 9.318807e-01 9.407340e-01 9.625423e-01 9.842794e-01 1.006497e+00 1.124356e+00 
7 701 5.233481e-01 1.105653e+00 2.692335e-01 2.692335e-01 4.683759e-01 5.332783e-01 5.550256e-01 6.715249e-01 7.036645e-01 7.176737e-01 7.551316e-01 7.855545e-01 7.990808e-01 8.218025e-01 8.259782e-01 8.464104e-01 8.666467e-01 8.688599e-01 8.927602e-01 9.118091e-01 9.280672e-01 9.556062e-01 9.683946e-01 9.873102e-01 1.105653e+00 
8 801 4.523120e-01 1.091616e+00 2.627158e-01 2.627158e-01 4.562291e-01 5.207752e-01 5.550360e-01 6.591774e-01 6.939341e-01 6.974161e-01 7.405749e-01 7.625870e-01 7.865198e-01 8.009976e-01 8.032519e-01 8.230891e-01 8.553135e-01 8.703547e-01 8.728820e-01 8.850591e-01 9.097235e-01 9.261587e-01 9.579972e-01 9.928670e-01 1.091616e+00 
9 901 7.422430e-01 1.058784e+00 2.583780e-01 2.583780e-01 4.450287e-01 5.052133e-01 5.445494e-01 6.498549e-01 6.745286e-01 6.919051e-01 7.210900e-01 7.411011e-01 7.635931e-01 7.828916e-01 7.860289e-01 8.145932e-01 8.501795e-01 8.552108e-01 8.613526e-01 8.642181e-01 9.013292e-01 9.144291e-01 9.427266e-01 9.685151e-01 1.058784e+00 
10 1001 5.625950e-01 1.044737e+00 2.551934e-01 2.551934e-01 4.320593e-01 4.946565e-01 5.374393e-01 6.486055e-01 6.595830e-01 6.830971e-01 7.081541e-01 7.381369e-01 7.479600e-01 7.561598e-01 7.727047e-01 7.907216e-01 8.156790e-01 8.274192e-01 8.463200e-01 8.543664e-01 8.882827e-01 8.992749e-01 9.162990e-01 9.383698e-01 1.044737e+00 
11 1101 5.205795e-01 1.017257e+00 2.458590e-01 2.458590e-01 4.258992e-01 4.896760e-01 5.248377e-01 6.348166e-01 6.436837e-01 6.691570e-01 6.884563e-01 7.237160e-01 7.299603e-01 7.397638e-01 7.647089e-01 7.856797e-01 8.000952e-01 8.091183e-01 8.251376e-01 8.570709e-01 8.811688e-01 8.979020e-01 9.071886e-01 9.234587e-01 1.017257e+00 
12 1201 8.400011e-01 9.894202e-01 2.438977e-01 2.438977e-01 4.163987e-01 4.767351e-01 5.158275e-01 6.306637e-01 6.360866e-01 6.582142e-01 6.807065e-01 6.940453e-01 7.228859e-01 7.304943e-01 7.488884e-01 7.727341e-01 7.916949e-01 7.947964e-01 8.156200e-01 8.410220e-01 8.590498e-01 8.823968e-01 8.897821e-01 9.067341e-01 9.894202e-01 
13 1301 5.833189e-01 9.542538e-01 2.376441e-01 2.376441e-01 4.023342e-01 4.655431e-01 5.010467e-01 6.222240e-01 6.300750e-01 6.452838e-01 6.735524e-01 6.788582e-01 7.127093e-01 7.263747e-01 7.326919e-01 7.538287e-01 7.741169e-01 7.860508e-01 7.975146e-01 8.222020e-01 8.441611e-01 8.541899e-01 8.673974e-01 9.038844e-01 9.542538e-01 
14 1401 5.551060e-01 9.464927e-01 2.337360e-01 2.337360e-01 3.963269e-01 4.498821e-01 4.873825e-01 6.030712e-01 6.144941e-01 6.348857e-01 6.540926e-01 6.705992e-01 6.997538e-01 7.080900e-01 7.156621e-01 7.449820e-01 7.592506e-01 7.671878e-01 7.822237e-01 8.112252e-01 8.264951e-01 8.467222e-01 8.587430e-01 8.895444e-01 9.464927e-01 
15 1501 8.719298e-01 9.214736e-01 2.323959e-01 2.323959e-01 3.878747e-01 4.423126e-01 4.658372e-01 5.848038e-01 6.030313e-01 6.145024e-01 6.441360e-01 6.631108e-01 6.886502e-01 6.941380e-01 7.057009e-01 7.258432e-01 7.387013e-01 7.567071e-01 7.777327e-01 7.958018e-01 8.019271e-01 8.239711e-01 8.432485e-01 8.850999e-01 9.214736e-01 
16 1601 6.214472e-01 8.980518e-01 2.240631e-01 2.240631e-01 3.814938e-01 4.274486e-01 4.534651e-01 5.685471e-01 5.978702e-01 6.054607e-01 6.347494e-01 6.460715e-01 6.795027e-01 6.871815e-01 6.982695e-01 7.130714e-01 7.238960e-01 7.481568e-01 7.573843e-01 7.822516e-01 7.875264e-01 8.060677e-01 8.249048e-01 8.529191e-01 8.980518e-01 
