%  columns="iteration, evaluation, sigma, axis ratio, bestever, best, median, worst fitness function value, further objective values of best" (startseed=210480, 2026/04/9 15:35:15.84)
1 101 4.659934e-01 3.576592e+00  5.000000000000000000e+08  5.000000000000000000e+08  5.000000000000000000e+08  5.000000000000000000e+08
2 201 4.925739e-01 3.705223e+00  5.000000000000000000e+08  5.000000000000000000e+08  5.000000000000000000e+08  5.000000000000000000e+08
3 301 4.975831e-01 3.763718e+00  5.000000000000000000e+08  5.000000000000000000e+08  5.000000000000000000e+08  5.000000000000000000e+08
4 401 4.968339e-01 3.847738e+00  5.000000000000000000e+08  5.000000000000000000e+08  5.000000000000000000e+08  5.000000000000000000e+08
5 501 5.021506e-01 3.928410e+00  5.000000000000000000e+08  5.000000000000000000e+08  5.000000000000000000e+08  5.000000000000000000e+08
6 601 8.049010e-01 4.100271e+00  5.000000000000000000e+08  5.000000000000000000e+08  5.000000000000000000e+08  5.000000000000000000e+08
7 701 5.233481e-01 4.106669e+00  5.000000000000000000e+08  5.000000000000000000e+08  5.000000000000000000e+08  5.000000000000000000e+08
8 801 4.523120e-01 4.155120e+00  5.000000000000000000e+08  5.000000000000000000e+08  5.000000000000000000e+08  5.000000000000000000e+08
9 901 7.422430e-01 4.097809e+00  5.000000000000000000e+08  5.000000000000000000e+08  5.000000000000000000e+08  5.000000000000000000e+08
10 1001 5.625950e-01 4.093903e+00  5.000000000000000000e+08  5.000000000000000000e+08  5.000000000000000000e+08  5.000000000000000000e+08
11 1101 5.205795e-01 4.137564e+00  5.000000000000000000e+08  5.000000000000000000e+08  5.000000000000000000e+08  5.000000000000000000e+08
12 1201 8.400011e-01 4.056701e+00  5.000000000000000000e+08  5.000000000000000000e+08  5.000000000000000000e+08  5.000000000000000000e+08
13 1301 5.833189e-01 4.015475e+00  5.000000000000000000e+08  5.000000000000000000e+08  5.000000000000000000e+08  5.000000000000000000e+08
14 1401 5.551060e-01 4.049410e+00  5.000000000000000000e+08  5.000000000000000000e+08  5.000000000000000000e+08  5.000000000000000000e+08
15 1501 8.719298e-01 3.965102e+00  5.000000000000000000e+08  5.000000000000000000e+08  5.000000000000000000e+08  5.000000000000000000e+08
16 1601 6.214472e-01 4.008030e+00  5.000000000000000000e+08  5.000000000000000000e+08  5.000000000000000000e+08  5.000000000000000000e+08
17 1701 5.891431e-01 4.086052e+00  5.000000000000000000e+08  5.000000000000000000e+08  5.000000000000000000e+08  5.000000000000000000e+08
