%  columns="iteration, evaluation, void, void, void, xmean" (startseed=210480, 2026/04/9 15:35:15.84)
0 1 0 0 0 9.816410e-01 2.519500e-02 2.236780e-01 1.277140e-01 9.853533e-01 4.113890e-01 4.531120e-01 9.031420e-01 6.688100e-02 4.596150e-01 8.907540e-01 7.579933e-01 5.145000e-01 1.471880e-01 9.946550e-01 8.246750e-01 7.022919e-01 5.958333e-01 5.247176e-01 0.000000e+00 7.653040e-01 1.842850e-01 
1 101 0 0 0 1.051382e+00 2.176419e-02 2.057960e-01 1.210865e-01 9.511469e-01 4.528956e-01 5.243468e-01 8.873794e-01 5.166465e-02 4.499485e-01 8.614855e-01 6.875897e-01 5.046226e-01 1.548385e-01 9.427520e-01 7.852244e-01 7.195597e-01 5.334709e-01 5.410461e-01 -2.900374e-02 7.943705e-01 2.102880e-01 
2 201 0 0 0 8.835960e-01 1.922967e-01 3.480826e-01 3.830663e-01 8.940299e-01 4.592648e-01 3.128490e-01 7.628316e-01 1.923507e-01 4.459159e-01 8.308809e-01 7.799207e-01 5.907208e-01 1.517213e-01 8.273415e-01 7.817066e-01 7.581376e-01 6.430822e-01 6.530067e-01 4.358313e-02 7.747623e-01 3.065059e-01 
3 301 0 0 0 7.386633e-01 3.404341e-01 4.322063e-01 3.680257e-01 9.090706e-01 4.193711e-01 3.339650e-01 6.346906e-01 2.415167e-01 3.979871e-01 7.028153e-01 7.352628e-01 5.623510e-01 2.035288e-01 7.651599e-01 8.344349e-01 7.739485e-01 6.198267e-01 7.085382e-01 1.975701e-01 7.389969e-01 4.119430e-01 
4 401 0 0 0 6.557460e-01 2.748061e-01 4.444095e-01 4.806684e-01 7.849386e-01 4.087962e-01 3.511925e-01 5.661603e-01 3.908509e-01 5.088793e-01 5.666845e-01 7.325737e-01 5.250650e-01 2.527711e-01 7.883071e-01 7.709588e-01 8.199755e-01 6.097742e-01 7.221106e-01 3.659874e-01 5.836962e-01 3.836302e-01 
5 501 0 0 0 6.463562e-01 2.805448e-01 5.647469e-01 4.908218e-01 6.704506e-01 3.918415e-01 3.765381e-01 4.981826e-01 2.646463e-01 4.360172e-01 6.066934e-01 6.432549e-01 4.340475e-01 2.773106e-01 7.950586e-01 7.408323e-01 8.078765e-01 5.276074e-01 7.341114e-01 4.753993e-01 6.236738e-01 4.169332e-01 
6 601 0 0 0 5.282011e-01 3.998411e-01 4.588624e-01 4.150782e-01 6.281662e-01 4.407541e-01 3.128276e-01 4.793381e-01 3.290939e-01 4.608622e-01 5.819103e-01 6.262169e-01 4.112563e-01 3.821022e-01 8.143823e-01 7.369193e-01 8.108686e-01 4.958108e-01 7.295503e-01 4.975851e-01 6.413676e-01 4.683244e-01 
7 701 0 0 0 3.399441e-01 4.105835e-01 4.924547e-01 6.224032e-01 5.389684e-01 4.189609e-01 3.908995e-01 4.736461e-01 4.201439e-01 4.989896e-01 6.284829e-01 3.292976e-01 5.500569e-01 2.880683e-01 7.762748e-01 7.789915e-01 8.235523e-01 6.438235e-01 6.742797e-01 5.675578e-01 6.046824e-01 4.055117e-01 
8 801 0 0 0 2.760411e-01 4.923965e-01 5.319493e-01 6.171229e-01 6.496083e-01 4.580136e-01 4.072501e-01 4.295497e-01 4.427445e-01 4.445050e-01 6.305980e-01 3.726399e-01 5.609781e-01 3.499084e-01 7.556012e-01 7.464189e-01 8.309494e-01 6.717592e-01 6.849121e-01 5.204842e-01 6.131999e-01 3.707171e-01 
9 901 0 0 0 3.310855e-01 5.574276e-01 4.758902e-01 6.225278e-01 6.420673e-01 5.686563e-01 5.621254e-01 3.565592e-01 3.651923e-01 4.664800e-01 5.894866e-01 4.071680e-01 5.122916e-01 2.860028e-01 7.438835e-01 7.272587e-01 8.752576e-01 5.745513e-01 6.559231e-01 4.906345e-01 5.679947e-01 4.545567e-01 
10 1001 0 0 0 3.655876e-01 3.812618e-01 4.554517e-01 7.121608e-01 6.946916e-01 4.051936e-01 4.973539e-01 4.816937e-01 4.682561e-01 4.169832e-01 6.230841e-01 6.442239e-01 4.454376e-01 1.650159e-01 8.177853e-01 7.645187e-01 8.797759e-01 3.741284e-01 7.496326e-01 3.505438e-01 5.869682e-01 5.712871e-01 
11 1101 0 0 0 2.746018e-01 3.040814e-01 4.739649e-01 6.391872e-01 7.229310e-01 4.797479e-01 4.537054e-01 5.624885e-01 4.957619e-01 4.258790e-01 5.437985e-01 5.188304e-01 3.121200e-01 2.758466e-01 7.944935e-01 7.600673e-01 8.882711e-01 4.676898e-01 8.053920e-01 5.104155e-01 5.729368e-01 5.873775e-01 
12 1201 0 0 0 3.753203e-01 3.922358e-01 4.703205e-01 4.817659e-01 6.436208e-01 3.511799e-01 4.853677e-01 6.197669e-01 5.173752e-01 4.637030e-01 5.723501e-01 4.834335e-01 4.272099e-01 3.576345e-01 8.088105e-01 7.400778e-01 8.633599e-01 5.852176e-01 7.769776e-01 5.249349e-01 5.025138e-01 5.014325e-01 
13 1301 0 0 0 3.730669e-01 3.749809e-01 5.271080e-01 5.717254e-01 7.241432e-01 2.074745e-01 4.393035e-01 7.908190e-01 5.063067e-01 5.138505e-01 6.992793e-01 5.625383e-01 4.377238e-01 2.969071e-01 8.692495e-01 7.360408e-01 8.800212e-01 5.584303e-01 7.308038e-01 5.046758e-01 5.162596e-01 6.513207e-01 
14 1401 0 0 0 3.886061e-01 3.916736e-01 5.437164e-01 3.908806e-01 7.166705e-01 3.336461e-01 5.726468e-01 7.116694e-01 5.811981e-01 4.392013e-01 8.191250e-01 5.459473e-01 3.635203e-01 3.612427e-01 7.721550e-01 6.852040e-01 8.514224e-01 6.043720e-01 7.243034e-01 5.148732e-01 5.775344e-01 6.873836e-01 
15 1501 0 0 0 4.690220e-01 4.614420e-01 5.523344e-01 4.457925e-01 6.447045e-01 3.142660e-01 5.073251e-01 7.401100e-01 6.035973e-01 5.289572e-01 7.125412e-01 6.093529e-01 4.097181e-01 4.832054e-01 7.349616e-01 7.133004e-01 8.877635e-01 6.596730e-01 7.564948e-01 5.902638e-01 6.359577e-01 6.089100e-01 
16 1601 0 0 0 3.392282e-01 4.908621e-01 5.781768e-01 4.811067e-01 5.222549e-01 5.620305e-01 3.943888e-01 7.891087e-01 4.742658e-01 4.885484e-01 7.778502e-01 6.476084e-01 3.014126e-01 7.002411e-01 7.009026e-01 5.798657e-01 8.871470e-01 5.523291e-01 7.085819e-01 6.723536e-01 6.693752e-01 7.775181e-01 
17 1701 0 0 0 3.664966e-01 3.829670e-01 3.874945e-01 5.883166e-01 6.076834e-01 4.489191e-01 4.451432e-01 6.438098e-01 5.437642e-01 5.821495e-01 6.727766e-01 6.228823e-01 4.123430e-01 6.031083e-01 6.895274e-01 6.878197e-01 8.618992e-01 4.256977e-01 7.303900e-01 5.726747e-01 5.303826e-01 7.026319e-01 
