%  columns="iteration, evaluation, fitness, void, void, xrecentbest" (startseed=210480, 2026/04/9 15:35:15.84)
1 101  5.000000000000000000e+08 0 0 1.313231e+00 -1.084120e-01 5.289245e-01 1.587808e-01 1.015718e+00 5.073941e-01 -7.815386e-02 9.678927e-01 -4.060085e-01 4.900694e-02 1.027279e+00 8.052478e-01 4.746324e-01 2.148582e-01 6.971615e-01 5.999580e-01 7.803190e-01 4.802247e-01 4.672166e-01 -4.965547e-02 8.312601e-01 6.109034e-01 
2 201  5.000000000000000000e+08 0 0 1.065820e+00 -2.935131e-02 -4.092068e-01 4.801014e-01 1.086882e+00 8.709899e-01 -1.742093e-02 4.237126e-01 2.048914e-01 2.211373e-01 6.514378e-01 8.735707e-01 5.005772e-01 9.372475e-01 6.414232e-01 7.565430e-01 5.640690e-01 6.716139e-01 1.122033e+00 3.500416e-01 4.512450e-01 3.854606e-01 
3 301  5.000000000000000000e+08 0 0 1.223955e+00 5.034501e-02 2.215207e-01 4.762965e-01 6.195345e-01 3.945673e-01 7.320020e-01 2.110972e-01 4.079469e-01 1.601657e-01 9.414946e-01 1.325343e+00 1.683590e-01 -2.685487e-01 6.742227e-01 6.701658e-01 7.678250e-01 9.531259e-02 9.837983e-01 -5.256079e-01 1.861912e+00 8.683708e-01 
4 401  5.000000000000000000e+08 0 0 1.264250e-01 -8.881974e-02 5.205337e-01 5.518558e-01 9.207045e-01 1.693384e-01 -4.173936e-04 8.900078e-01 3.672911e-01 -2.359706e-01 -1.309147e-01 8.496705e-01 6.139732e-01 5.947707e-01 5.534973e-01 1.455746e+00 5.718081e-01 2.478885e-01 4.077033e-01 1.075391e+00 5.509923e-01 2.159593e-01 
5 501  5.000000000000000000e+08 0 0 6.639020e-01 6.814417e-01 1.389916e+00 4.843497e-01 8.014034e-01 5.759654e-01 -2.308905e-01 9.277768e-01 3.811953e-01 -1.470394e-01 2.813367e-01 2.355832e-01 7.632711e-01 6.991190e-01 3.668536e-01 7.747092e-01 9.146863e-01 1.845925e-01 1.001039e+00 3.147971e-01 4.791507e-01 1.239825e+00 
6 601  5.000000000000000000e+08 0 0 1.001447e+00 6.378635e-02 5.679878e-01 1.275560e+00 7.297927e-01 8.193514e-02 8.417381e-01 -1.914044e-01 5.202228e-01 9.992650e-01 -1.774798e-01 7.190971e-01 -3.146763e-01 1.369214e+00 7.742640e-01 1.110876e+00 7.767750e-01 3.615456e-02 4.952671e-01 8.758498e-01 3.987586e-01 9.809256e-01 
7 701  5.000000000000000000e+08 0 0 -3.435769e-01 -7.669444e-02 -1.160263e+00 6.679751e-02 5.780074e-01 8.418725e-01 1.030751e+00 1.669367e-01 3.034740e-01 -1.381475e+00 1.041660e+00 -2.606674e-02 1.189744e+00 9.385506e-01 7.275046e-01 3.360441e-02 5.975955e-01 9.432694e-01 1.143226e+00 7.933469e-01 7.648190e-01 9.148496e-03 
8 801  5.000000000000000000e+08 0 0 1.170728e-01 9.661851e-01 3.570521e-01 1.138248e+00 7.185528e-01 1.255718e+00 1.379190e+00 7.152641e-01 4.143434e-01 3.910145e-01 8.231859e-01 3.634298e-01 1.003298e+00 -4.386641e-02 4.932153e-01 9.345913e-01 8.518371e-01 6.820807e-01 6.862836e-01 1.099666e+00 7.296720e-01 2.134303e-01 
9 901  5.000000000000000000e+08 0 0 -5.579657e-01 3.223048e-01 1.077481e+00 8.030266e-01 7.798469e-01 7.527317e-01 1.155287e+00 -2.546109e-01 1.067862e+00 -2.070921e-01 4.802719e-01 -5.052100e-02 6.319589e-01 4.877471e-01 9.183322e-01 6.097209e-01 7.906045e-01 2.432691e-01 5.028904e-01 7.697669e-01 4.114008e-01 1.851058e-01 
10 1001  5.000000000000000000e+08 0 0 -3.656819e-01 3.559762e-01 -4.375854e-01 1.408078e+00 4.435906e-01 1.026864e+00 1.291394e+00 -7.240244e-01 1.992096e+00 1.101582e+00 4.605437e-01 7.866774e-02 6.552609e-01 -1.879577e-01 1.152937e+00 6.755040e-01 9.288612e-01 6.740315e-01 1.067594e+00 4.909439e-01 5.782492e-01 1.903245e-01 
11 1101  5.000000000000000000e+08 0 0 9.095856e-01 4.974082e-01 -7.541358e-01 1.025353e+00 8.946521e-01 3.195479e-02 8.108398e-01 6.518669e-01 9.222614e-01 6.104020e-01 5.948513e-01 4.070049e-01 -2.748075e-01 3.850893e-01 6.746934e-01 8.120934e-01 7.612832e-01 5.610136e-01 8.731772e-01 1.087415e+00 2.519546e-01 1.537496e-01 
12 1201  5.000000000000000000e+08 0 0 2.336962e-02 8.971276e-01 1.273152e-01 1.236187e+00 5.063361e-01 6.919558e-01 1.518534e+00 4.808440e-01 8.047586e-01 9.619728e-01 1.015296e+00 5.828997e-01 -2.235947e-01 -2.001469e-01 9.603491e-01 7.828864e-01 8.911002e-01 3.711189e-01 1.051393e+00 1.081734e+00 7.797211e-01 5.944461e-02 
